Date,Target_Date,Matched_Date,Matching_Delay_Days,6M,6M_After_1Y,6M_1Y_Change,6M_1Y_Change_bps,1Y,1Y_After_1Y,1Y_1Y_Change,1Y_1Y_Change_bps,2Y,2Y_After_1Y,2Y_1Y_Change,2Y_1Y_Change_bps,3Y,3Y_After_1Y,3Y_1Y_Change,3Y_1Y_Change_bps,5Y,5Y_After_1Y,5Y_1Y_Change,5Y_1Y_Change_bps,7Y,7Y_After_1Y,7Y_1Y_Change,7Y_1Y_Change_bps,10Y,10Y_After_1Y,10Y_1Y_Change,10Y_1Y_Change_bps
1990-01-02,1991-01-02,1991-01-02,0,7.89,6.73,-1.1599999999999993,-115.99999999999993,7.81,6.74,-1.0699999999999994,-106.99999999999994,7.87,7.08,-0.79,-79.0,7.9,7.3,-0.6000000000000005,-60.00000000000006,7.87,7.59,-0.28000000000000025,-28.000000000000025,7.98,7.9,-0.08000000000000007,-8.000000000000007,7.94,7.97,0.02999999999999936,2.999999999999936
1990-01-03,1991-01-03,1991-01-03,0,7.94,6.71,-1.2300000000000004,-123.00000000000004,7.85,6.72,-1.13,-112.99999999999999,7.94,7.08,-0.8600000000000003,-86.00000000000003,7.96,7.27,-0.6900000000000004,-69.00000000000004,7.92,7.56,-0.3600000000000003,-36.00000000000003,8.04,7.86,-0.17999999999999883,-17.999999999999883,7.99,7.93,-0.0600000000000005,-6.00000000000005
1990-01-04,1991-01-04,1991-01-04,0,7.9,6.82,-1.08,-108.0,7.82,6.83,-0.9900000000000002,-99.00000000000003,7.92,7.17,-0.75,-75.0,7.93,7.37,-0.5599999999999996,-55.99999999999996,7.91,7.65,-0.2599999999999998,-25.99999999999998,8.02,7.94,-0.07999999999999918,-7.999999999999918,7.98,8.02,0.03999999999999915,3.9999999999999147
1990-01-05,1991-01-05,1991-01-07,2,7.85,6.84,-1.0099999999999998,-100.99999999999997,7.79,6.84,-0.9500000000000002,-95.00000000000001,7.9,7.2,-0.7000000000000002,-70.00000000000001,7.94,7.43,-0.5100000000000007,-51.00000000000007,7.92,7.75,-0.16999999999999993,-16.999999999999993,8.03,8.04,0.009999999999999787,0.9999999999999787,7.99,8.13,0.14000000000000057,14.000000000000057
1990-01-08,1991-01-08,1991-01-08,0,7.88,6.74,-1.1399999999999997,-113.99999999999997,7.81,6.75,-1.0599999999999996,-105.99999999999996,7.9,7.15,-0.75,-75.0,7.95,7.39,-0.5600000000000005,-56.00000000000005,7.92,7.74,-0.17999999999999972,-17.99999999999997,8.05,8.06,0.009999999999999787,0.9999999999999787,8.02,8.16,0.14000000000000057,14.000000000000057
1990-01-09,1991-01-09,1991-01-09,0,7.82,6.61,-1.21,-121.0,7.78,6.68,-1.1000000000000005,-110.00000000000006,7.91,7.1,-0.8100000000000005,-81.00000000000006,7.94,7.46,-0.4800000000000004,-48.00000000000004,7.92,7.81,-0.11000000000000032,-11.000000000000032,8.05,8.12,0.06999999999999851,6.999999999999851,8.02,8.25,0.23000000000000043,23.000000000000043
1990-01-10,1991-01-10,1991-01-10,0,7.78,6.57,-1.21,-121.0,7.77,6.64,-1.13,-112.99999999999999,7.91,7.14,-0.7700000000000005,-77.00000000000004,7.95,7.39,-0.5600000000000005,-56.00000000000005,7.92,7.76,-0.16000000000000014,-16.000000000000014,8.0,8.02,0.019999999999999574,1.9999999999999574,8.03,8.16,0.13000000000000078,13.000000000000078
1990-01-11,1991-01-11,1991-01-11,0,7.8,6.55,-1.25,-125.0,7.77,6.62,-1.1499999999999995,-114.99999999999994,7.91,7.14,-0.7700000000000005,-77.00000000000004,7.95,7.4,-0.5499999999999998,-54.999999999999986,7.94,7.79,-0.15000000000000036,-15.000000000000036,8.01,8.06,0.05000000000000071,5.000000000000071,8.04,8.2,0.16000000000000014,16.000000000000014
1990-01-12,1991-01-12,1991-01-14,2,7.81,6.47,-1.3399999999999999,-134.0,7.76,6.6,-1.1600000000000001,-116.00000000000001,7.93,7.18,-0.75,-75.0,7.98,7.44,-0.54,-54.0,7.99,7.82,-0.16999999999999993,-16.999999999999993,8.07,8.09,0.019999999999999574,1.9999999999999574,8.1,8.23,0.13000000000000078,13.000000000000078
1990-01-16,1991-01-16,1991-01-16,0,7.99,6.46,-1.5300000000000002,-153.00000000000003,7.92,6.61,-1.3099999999999996,-130.99999999999997,8.1,7.21,-0.8899999999999997,-88.99999999999997,8.13,7.47,-0.660000000000001,-66.0000000000001,8.11,7.83,-0.27999999999999936,-27.999999999999936,8.18,8.09,-0.08999999999999986,-8.999999999999986,8.2,8.24,0.040000000000000924,4.000000000000092
